post_date,lastpull_ts,link,price,year,make,model,body,mileage,title_type,city,state,seller,trim,ext_color,int_color,transmission,liters,cylinders,fuel_type,n_doors,ext_condition,int_condition,drive_type,VIN,n_pics
2020-03-22,1584935454,https://cars.ksl.com/listing/6178199,13512,2016,Ford,Fusion,Sedan,39150.0,,Layton,UT,Dealer,SE,red,cloth,Automatic,,4.0,Gasoline,4.0,,,FWD,3FA6P0H70GR384143,30
2020-03-22,1584935455,https://cars.ksl.com/listing/6148338,59992,2020,Jeep,Gladiator,Truck,1036.0,,West Valley City,UT,Dealer,Rubicon,billet silver metallic clearcoat,black,Automatic,,6.0,Gasoline,4.0,,,4-Wheel Drive,1C6JJTBGXLL117026,23
2020-03-22,1584935455,https://cars.ksl.com/listing/5915346,1299,2005,Hyundai,Accent,Sedan,142714.0,Clean Title,Midvale,UT,Dealer,GLS,grey,,Automatic,,4.0,Gasoline,4.0,,,FWD,KMHCG45C95U580539,21
2020-03-22,1584935456,https://cars.ksl.com/listing/5915345,1299,2000,Ford,Mustang,Coupe,181911.0,Clean Title,Midvale,UT,Dealer,,red,,Automatic,,6.0,Gasoline,2.0,,,,1FAFP4047YF240774,19
2020-03-22,1584935456,https://cars.ksl.com/listing/6327170,9750,2015,Toyota,Camry,Sedan,121850.0,Clean Title,Murray,UT,Dealer,LE,blue,black,Automatic,,4.0,Gasoline,4.0,Good,Good,FWD,4T1BF1FK5FU035846,19
2020-03-22,1584935457,https://cars.ksl.com/listing/6075694,7999,2007,Toyota,FJ Cruiser,Sport Utility,170862.0,Clean Title,Midvale,UT,Dealer,,yellow,black,Automatic,,6.0,Gasoline,4.0,,,RWD,JTEZU11F870003058,26
2020-03-22,1584935458,https://cars.ksl.com/listing/5805403,1999,2003,Honda,Element,Sport Utility,148005.0,Rebuilt/Reconstructed Title,Midvale,UT,Dealer,EX,orange,black,Automatic,,4.0,Gasoline,4.0,,,4-Wheel Drive,5J6YH28503L037473,20
2020-03-22,1584935459,https://cars.ksl.com/listing/5840340,1499,2006,Subaru,Legacy,Sedan,168672.0,Clean Title,Midvale,UT,Dealer,2.5i Special Edition,silver,,Automatic,,4.0,Gasoline,4.0,,,AWD,4S3BL626567200148,20
2020-03-22,1584935460,https://cars.ksl.com/listing/6018798,199,1997,Ford,Taurus,Sedan,166381.0,Clean Title,Midvale,UT,Dealer,LX,silver,,Automatic,,6.0,Gasoline,4.0,,,FWD,1FALP53S9VA135424,22
2020-03-22,1584935460,https://cars.ksl.com/listing/6119009,18590,2012,Audi,A8,Sedan,47413.0,Rebuilt/Reconstructed Title,Layton,UT,Dealer,,black,black,Automatic,,8.0,Gasoline,4.0,Very Good,Very Good,AWD,WAURVAFD8CN023443,15
2020-03-22,1584935461,https://cars.ksl.com/listing/5744019,799,2003,Oldsmobile,Alero,Sedan,212705.0,Clean Title,Midvale,UT,Dealer,GL1,silver,,Automatic,,4.0,Gasoline,4.0,,,FWD,1G3NL52F73C275704,18
2020-03-22,1584935461,https://cars.ksl.com/listing/5838044,999,2001,Volkswagen,Beetle,Hatchback,173984.0,Clean Title,Midvale,UT,Dealer,GLX,silver,,Automatic,,4.0,Gasoline,2.0,,,FWD,3VWDD21C21M459584,18
2020-03-22,1584935462,https://cars.ksl.com/listing/6210681,10300,2015,Volkswagen,Golf GTI,Hatchback,89062.0,Clean Title,Layton,UT,Dealer,SE,gray,black,Manual,,4.0,Gasoline,4.0,Very Good,Very Good,FWD,3VW5T7AU4FM095432,22
2020-03-22,1584935462,https://cars.ksl.com/listing/5838040,1499,2007,Mitsubishi,Galant,Sedan,168040.0,Clean Title,Midvale,UT,Dealer,ES,silver,grey,Automatic,,4.0,Gasoline,4.0,,,,4A3AB36F67E036359,25
