timestamp,price,year,make,model,body,mileage,title_type,city,state,seller,trim,ext_color,int_color,transmission,liters,cylinders,fuel_type,num_doors,ext_condition,int_condition,drive_type
1584032993,23566,2018,Ford,Edge,Sport Utility,36285.0,Clean Title,Salt Lake City,UT,Dealer,SEL,maroon,,Automatic,,6.0,Gasoline,4.0,,,AWD
1584032980,30737,2019,Ford,F-150,Truck,14012.0,,Layton,UT,Dealer,XLT,white,medium earth gray,Automatic,,8.0,Flex Fuel,4.0,,,4-Wheel Drive
1584032980,41436,2018,Jeep,Wrangler Unlimited,Convertible,25.0,,West Valley City,UT,Dealer,Sport S,xtreme purple pearlcoat,black,Automatic,,6.0,Gasoline,4.0,,,4-Wheel Drive
1584032969,15491,2008,GMC,Yukon,Sport Utility,111188.0,Clean Title,St. George,UT,Dealer,SLT with 4SA,summit white,,Automatic,,8.0,Flex Fuel,,,,4-Wheel Drive
1584032969,31560,2019,Ford,F-150,Truck,11654.0,,Layton,UT,Dealer,,white,,Automatic,,8.0,Flex Fuel,4.0,,,4-Wheel Drive
1584032959,19840 | MSRP 28190,2019,Buick,Encore,Sport Utility,3.0,,Highland,UT,Dealer,Sport Touring,red,shale,Automatic,,4.0,Gasoline,4.0,,,FWD
1584032948,8999,2003,Hummer,H2,Sport Utility,,Clean Title,Roy,UT,Dealer,,pewter,biege,Automatic,,8.0,Gasoline,4.0,Excellent,Excellent,4-Wheel Drive
1584032942,3785,2010,Volkswagen,Jetta,Sedan,143317.0,Clean Title,Orem,UT,Dealer,S,tan,black,Automatic,,5.0,Gasoline,4.0,Very Good,Very Good,FWD
1584032938,41436,2018,Jeep,Wrangler Unlimited,Convertible,25.0,,West Valley City,UT,Dealer,Sport S,granite crystal metallic clearcoat,black,Automatic,,6.0,Gasoline,4.0,,,4-Wheel Drive
1584032926,9495,2009,Mercedes-Benz,CLK-Class,Convertible,99180.0,Clean Title,Orem,UT,Dealer,5.5L,silver,black,Automatic,,8.0,Gasoline,2.0,Very Good,Very Good,2-Wheel Drive
1584032919,41436,2018,Jeep,Wrangler Unlimited,Convertible,25.0,,West Valley City,UT,Dealer,Sport S,rhino clearcoat,black,Automatic,,6.0,Gasoline,4.0,,,4-Wheel Drive
1584032909,20995,2012,Chevrolet,Silverado 1500,Truck,119715.0,Clean Title,St. George,UT,Dealer,LTZ,white diamond tricoat,ebony,Automatic,,8.0,Flex Fuel,4.0,Excellent,Excellent,4-Wheel Drive
1584032899,39986,2018,Jeep,Wrangler Unlimited,Convertible,15.0,,West Valley City,UT,Dealer,Sport S,granite crystal metallic clearcoat,black,Automatic,,6.0,Gasoline,4.0,,,4-Wheel Drive
1584032893,2500,2007,Chevrolet,Silverado 2500HD,Truck,214000.0,Clean Title,Lehi,UT,Owner,,white,gray,Automatic,,8.0,Gasoline,2.0,Fair,Fair,RWD
1584032878,19988,2016,Chevrolet,Equinox,Sport Utility,7403.0,,Caldwell,ID,Dealer,LT,iridescent pearl tricoat,jet black w/premium cloth seat trim,Automatic,,4.0,Gasoline,4.0,,,AWD
1584032859,42988,2017,Jaguar,F-PACE,Sport Utility,15810.0,,Caldwell,ID,Dealer,35t R-Sport,italian racing red metallic,black,Automatic,,6.0,Gasoline,4.0,,,
1584032850,41436,2018,Jeep,Wrangler Unlimited,Convertible,15.0,,West Valley City,UT,Dealer,Sport S,xtreme purple pearlcoat,black,Automatic,,6.0,Gasoline,4.0,,,4-Wheel Drive
1584032839,47902,2018,Jeep,Wrangler Unlimited,Convertible,25.0,,West Valley City,UT,Dealer,Sahara,gobi clearcoat,black,Automatic,,6.0,Gasoline,4.0,,,4-Wheel Drive
1584032828,30975,2019,Honda,CR-V,Sport Utility,6540.0,,Salt Lake City,UT,Dealer,EX-L,red,ivory,Automatic,,4.0,Gasoline,4.0,,,4-Wheel Drive
1584032818,41486,2018,Jeep,Wrangler Unlimited,Convertible,25.0,,West Valley City,UT,Dealer,Sport S,xtreme purple pearlcoat,black,Automatic,,6.0,Gasoline,4.0,,,4-Wheel Drive
1584032809,49995,2018,GMC,2500,Truck,13635.0,Clean Title,Lindon,UT,Dealer,,black,black,Automatic,,8.0,Diesel,,,,4-Wheel Drive
1584032799,44902,2018,Jeep,Wrangler Unlimited,Convertible,25.0,,West Valley City,UT,Dealer,Sport S,granite crystal metallic clearcoat,black,Automatic,,6.0,Gasoline,4.0,,,4-Wheel Drive
1584032790,14995,2016,Honda,Civic,Sedan,45410.0,Clean Title,Lindon,UT,Dealer,EX,white,beige,Automatic,,4.0,Gasoline,,,,
1584032779,4397,2005,Volvo,S80,Sedan,87143.0,Clean Title,Orem,UT,Dealer,Premier,white,creme,Automatic,,5.0,Gasoline,4.0,Very Good,Very Good,FWD
1584032770,21999,2007,Porsche,Cayman,Coupe,95492.0,Clean Title,American Fork,UT,Dealer,S,meteor grey metallic,black leather interior,,,6.0,Gasoline,,,,
1584032759,17500,2014,Ford,F-150,Truck,137151.0,Clean Title,Midvale,UT,Dealer,FX4,ingot silver metallic,black,Automatic,,6.0,Gasoline,,,,4-Wheel Drive
1584032750,17995,2013,Chevrolet,Silverado 3500HD,Truck,138570.0,Clean Title,Salt Lake City,UT,Dealer,Work Truck,white,gray,Automatic,,8.0,Flex Fuel,,,,4-Wheel Drive
1584032731,16800,2018,Chevrolet,Malibu,Sedan,8796.0,Clean Title,Midvale,UT,Dealer,LT,silver,grey,Automatic,,4.0,Gasoline,,,,
1584032721,21494,2019,Jeep,Compass,Sport Utility,3371.0,,Spanish Fork,UT,Dealer,Latitude,billet silver metallic clearcoat,,Automatic,,4.0,Gasoline,4.0,,,4-Wheel Drive
1584032705,3750,2012,Nissan,Altima,Sedan,145000.0,Clean Title,Salt Lake City,UT,Owner,2.5 S,gray,gray,Automatic,,4.0,Gasoline,4.0,Very Good,Very Good,FWD
1584032516,34142,2017,Toyota,Tundra,Truck,31658.0,,Sandy,UT,Dealer,SR5,white,,Automatic,,8.0,Gasoline,4.0,,,4-Wheel Drive
1584032445,14523,2016,Volkswagen,Tiguan,Sport Utility,52651.0,,Salt Lake City,UT,Dealer,S,black,,Automatic,,4.0,Gasoline,,,,AWD
1584032443,8995,2017,Volkswagen,Jetta,Sedan,82987.0,Clean Title,Draper,UT,Dealer,1.4T S,red,titan black/palladium gray,Automatic,,4.0,Gasoline,4.0,,,
1584032423,19955,2019,Volkswagen,Jetta,Sedan,12390.0,,Layton,UT,Dealer,SEL,pure white,,Automatic,,4.0,Gasoline,4.0,,,
