post_date,lastpull_ts,link,price,year,make,model,body,mileage,title_type,city,state,seller,trim,ext_color,int_color,transmission,liters,cylinders,fuel_type,n_doors,ext_condition,int_condition,drive_type,VIN,n_pics,views,favorites,workingURL,view_rate,favorite_rate,fav_per_view
2020-03-22,1584993540,https://cars.ksl.com/listing/6178199,13512,2016,Ford,Fusion,Sedan,39150.0,,Layton,UT,Dealer,SE,red,cloth,Automatic,,4.0,Gasoline,4.0,,,FWD,3FA6P0H70GR384143,30,235.0,4.0,1,1.717763637563819e-08,2.923853000108628e-10,0.01702127659574468
2020-03-22,1584993540,https://cars.ksl.com/listing/6148338,59992,2020,Jeep,Gladiator,Truck,1036.0,,West Valley City,UT,Dealer,Rubicon,billet silver metallic clearcoat,black,Automatic,,6.0,Gasoline,4.0,,,4-Wheel Drive,1C6JJTBGXLL117026,23,1276.0,8.0,1,9.327058962303833e-08,5.847685869782968e-10,0.006269592476489028
2020-03-22,1584993541,https://cars.ksl.com/listing/5915346,1299,2005,Hyundai,Accent,Sedan,142714.0,Clean Title,Midvale,UT,Dealer,GLS,grey,,Automatic,,4.0,Gasoline,4.0,,,FWD,KMHCG45C95U580539,21,2164.0,70.0,1,1.581794445051619e-07,5.1167103120893405e-09,0.03234750462107209
2020-03-22,1584993541,https://cars.ksl.com/listing/5915345,1299,2000,Ford,Mustang,Coupe,181911.0,Clean Title,Midvale,UT,Dealer,,red,,Automatic,,6.0,Gasoline,2.0,,,,1FAFP4047YF240774,19,5140.0,110.0,1,3.757115629060237e-07,8.040519828728133e-09,0.021400778210116732
2020-03-22,1584993543,https://cars.ksl.com/listing/6327170,9750,2015,Toyota,Camry,Sedan,121850.0,Clean Title,Murray,UT,Dealer,LE,blue,black,Automatic,,4.0,Gasoline,4.0,Good,Good,FWD,4T1BF1FK5FU035846,19,31.0,1.0,1,2.2659419434557287e-09,7.30949014017977e-11,0.03225806451612903
2020-03-22,1584993543,https://cars.ksl.com/listing/6075694,7999,2007,Toyota,FJ Cruiser,Sport Utility,170862.0,Clean Title,Midvale,UT,Dealer,,yellow,black,Automatic,,6.0,Gasoline,4.0,,,RWD,JTEZU11F870003058,26,3466.0,46.0,1,2.5334619577270024e-07,3.362355743088347e-09,0.013271783035199077
2020-03-22,1584993544,https://cars.ksl.com/listing/5805403,1999,2003,Honda,Element,Sport Utility,148005.0,Rebuilt/Reconstructed Title,Midvale,UT,Dealer,EX,orange,black,Automatic,,4.0,Gasoline,4.0,,,4-Wheel Drive,5J6YH28503L037473,20,8286.0,212.0,1,6.056608752886267e-07,1.5496030118415264e-08,0.025585324643977794
2020-03-22,1584993544,https://cars.ksl.com/listing/5840340,1499,2006,Subaru,Legacy,Sedan,168672.0,Clean Title,Midvale,UT,Dealer,2.5i Special Edition,silver,,Automatic,,4.0,Gasoline,4.0,,,AWD,4S3BL626567200148,20,8174.0,302.0,1,5.974725432186963e-07,2.2074468809890665e-08,0.03694641546366528
2020-03-22,1584993546,https://cars.ksl.com/listing/6018798,199,1997,Ford,Taurus,Sedan,166381.0,Clean Title,Midvale,UT,Dealer,LX,silver,,Automatic,,6.0,Gasoline,4.0,,,FWD,1FALP53S9VA135424,22,5513.0,60.0,1,4.0296447606944054e-07,4.385610115031096e-09,0.010883366588064575
2020-03-22,1584993546,https://cars.ksl.com/listing/6119009,18590,2012,Audi,A8,Sedan,47413.0,Rebuilt/Reconstructed Title,Layton,UT,Dealer,,black,black,Automatic,,8.0,Gasoline,4.0,Very Good,Very Good,AWD,WAURVAFD8CN023443,15,1140.0,21.0,1,8.332631570910945e-08,1.5349584472730688e-09,0.018421052631578946
2020-03-22,1584993549,https://cars.ksl.com/listing/5744019,799,2003,Oldsmobile,Alero,Sedan,212705.0,Clean Title,Midvale,UT,Dealer,GL1,silver,,Automatic,,4.0,Gasoline,4.0,,,FWD,1G3NL52F73C275704,18,1944.0,41.0,1,1.4209083903580845e-07,2.9967718109404045e-09,0.02109053497942387
2020-03-22,1584993549,https://cars.ksl.com/listing/5838044,999,2001,Volkswagen,Beetle,Hatchback,173984.0,Clean Title,Midvale,UT,Dealer,GLX,silver,,Automatic,,4.0,Gasoline,2.0,,,FWD,3VWDD21C21M459584,18,6134.0,129.0,1,4.483447765548973e-07,9.428835372608697e-09,0.021030322791000977
2020-03-22,1584993551,https://cars.ksl.com/listing/6210681,10300,2015,Volkswagen,Golf GTI,Hatchback,89062.0,Clean Title,Layton,UT,Dealer,SE,gray,black,Manual,,4.0,Gasoline,4.0,Very Good,Very Good,FWD,3VW5T7AU4FM095432,22,1773.0,62.0,1,1.2959036029800792e-07,4.531642604893678e-09,0.03496897913141568
2020-03-22,1584993553,https://cars.ksl.com/listing/5838040,1499,2007,Mitsubishi,Galant,Sedan,168040.0,Clean Title,Midvale,UT,Dealer,ES,silver,grey,Automatic,,4.0,Gasoline,4.0,,,,4A3AB36F67E036359,25,2691.0,103.0,1,1.9668577074613584e-07,7.528292228484575e-09,0.03827573392790784
2020-03-22,1584993553,https://cars.ksl.com/listing/5894233,34750,2017,GMC,1500,Truck,24153.0,Clean Title,Layton,UT,Dealer,SLT,black,black,Automatic,,8.0,Gasoline,4.0,Excellent,Excellent,4-Wheel Drive,3GTU2NEC3HG312381,15,640.0,14.0,1,4.677753167371068e-08,1.023258505362421e-09,0.021875
2020-03-22,1584993554,https://cars.ksl.com/listing/5837868,1499,2001,Acura,CL,Coupe,206437.0,Clean Title,Midvale,UT,Dealer,Type S,white,,Automatic,,6.0,Gasoline,2.0,,,FWD,19UYA42621A008655,24,3395.0,64.0,1,2.4813948360588963e-07,4.677739897136063e-09,0.01885125184094256
2020-03-22,1584993554,https://cars.ksl.com/listing/5837857,699,2006,Ford,Escape,Sport Utility,190561.0,Clean Title,Midvale,UT,Dealer,XLT,white,,Automatic,,6.0,Gasoline,4.0,,,FWD,1FMYU03106KB87017,17,6839.0,65.0,1,4.998588978176208e-07,4.750815668686263e-09,0.009504313496125164
2020-03-22,1584993556,https://cars.ksl.com/listing/6219382,5999,2009,Ford,F-150,Truck,178456.0,Clean Title,Midvale,UT,Dealer,,grey,,Automatic,,8.0,Gasoline,4.0,,,4-Wheel Drive,1FTRX14889FB11592,24,2785.0,69.0,1,2.0355214082084968e-07,5.043123058039005e-09,0.024775583482944345
2020-03-22,1584993558,https://cars.ksl.com/listing/6278454,15500,2008,Toyota,Tundra,Truck,190000.0,Clean Title,St. George,UT,Owner,SR5,red,tan,Automatic,,8.0,Gasoline,4.0,Very Good,Very Good,4-Wheel Drive,5TFDV54178X036273,6,169.0,5.0,1,1.2351875347736115e-08,3.654400990454472e-10,0.029585798816568046
2020-03-22,1584993558,https://cars.ksl.com/listing/6163550,24487,2019,Volkswagen,Tiguan,Sport Utility,28086.0,,Delta,UT,Dealer,,dark moss green,,Automatic,,4.0,Gasoline,4.0,,,AWD,3VV2B7AX4KM057701,14,79.0,2.0,1,5.7739334765483465e-09,1.4617553105185687e-10,0.02531645569620253
