post_date,lastpull_ts,link,price,year,make,model,body,mileage,title_type,city,state,seller,trim,ext_color,int_color,transmission,liters,cylinders,fuel_type,n_doors,ext_condition,int_condition,drive_type,VIN,n_pics
2020-03-21,1584801100,https://cars.ksl.com/listing/6107041,35000,2015,Tesla,Model S,Sedan,21139,,Salt Lake City,UT,Dealer,kWh Battery,black,tan,Automatic,,,Electric,4.0,,,RWD,5YJSA1E14FF116177,67
2020-03-21,1584801100,https://cars.ksl.com/listing/6220811,16999,2014,GMC,1500,Truck,91709,,Woods Cross,UT,Dealer,SLE,summit white,cocoa/dune,Automatic,,8.0,Flex Fuel,4.0,,,4-Wheel Drive,1GTV2UEC5EZ263713,31
2020-03-21,1584801101,https://cars.ksl.com/listing/6220809,26978,2016,Infiniti,Q70L,Sedan,7042,,Woods Cross,UT,Dealer,,majestic white,wheat,Automatic,,8.0,Gasoline,4.0,,,AWD,JN1AY1PR5GM590046,31
2020-03-21,1584801102,https://cars.ksl.com/listing/6289112,9500,2015,Hyundai,Elantra GT,Compact,79199,Clean Title,Price,UT,Owner,,blue,gray,Automatic,,4.0,Gasoline,4.0,,Very Good,FWD,KMHD35LH9FU242533,13
2020-03-21,1584801103,https://cars.ksl.com/listing/5952682,34335,2018,Jeep,Wrangler Unlimited,Convertible,25,,West Valley City,UT,Dealer,Sport S,gobi clearcoat,black,Automatic,,6.0,Gasoline,4.0,,,4-Wheel Drive,1C4HJWDG6JL898663,20
2020-03-21,1584801106,https://cars.ksl.com/listing/5952680,34335,2018,Jeep,Wrangler Unlimited,Convertible,10,,West Valley City,UT,Dealer,Sport S,black clearcoat,black,Automatic,,6.0,Gasoline,4.0,,,4-Wheel Drive,1C4HJWDG7JL856342,20
2020-03-21,1584801107,https://cars.ksl.com/listing/6220805,22199,2017,Ford,Edge,Sport Utility,3693,,Woods Cross,UT,Dealer,Titanium,ruby red metallic tinted clearcoat,ebony,Automatic,,4.0,Gasoline,4.0,,,AWD,2FMPK4K98HBB73475,31
2020-03-21,1584801107,https://cars.ksl.com/listing/5952679,34335,2018,Jeep,Wrangler Unlimited,Convertible,20,,West Valley City,UT,Dealer,Sport S,bright white clearcoat,black,Automatic,,6.0,Gasoline,4.0,,,4-Wheel Drive,1C4HJWDG8JL856348,21
2020-03-21,1584801108,https://cars.ksl.com/listing/6220804,12399,2016,Subaru,Impreza,Hatchback,35458,,Woods Cross,UT,Dealer,2.0i Sport Limited,dark gray metallic,black,Automatic,,4.0,Gasoline,4.0,,,,JF1GPAY67G8229916,31
2020-03-21,1584801110,https://cars.ksl.com/listing/6220802,28999,2017,Acura,MDX,Sport Utility,12101,,Woods Cross,UT,Dealer,with Advance Package,crystal black pearl,ebony,Automatic,,6.0,Gasoline,4.0,,,AWD,5FRYD4H83HB013622,31
2020-03-21,1584801112,https://cars.ksl.com/listing/5952678,34335,2018,Jeep,Wrangler Unlimited,Convertible,25,,West Valley City,UT,Dealer,Sport S,firecracker red clearcoat,black,Automatic,,6.0,Gasoline,4.0,,,4-Wheel Drive,1C4HJWDG6JL856350,21
2020-03-21,1584801112,https://cars.ksl.com/listing/6220801,22699,2018,BMW,3 Series,Sedan,6235,,Woods Cross,UT,Dealer,330i xDrive,black sapphire metallic,black,Automatic,,4.0,Gasoline,4.0,,,AWD,WBA8D9G58JNU72882,17
2020-03-21,1584801114,https://cars.ksl.com/listing/5952677,39985,2018,Jeep,Wrangler Unlimited,Convertible,45,,West Valley City,UT,Dealer,Sport S,billet silver metallic clearcoat,black,Automatic,,6.0,Gasoline,4.0,,,4-Wheel Drive,1C4HJWDG7JL856339,22
2020-03-21,1584801115,https://cars.ksl.com/listing/6107038,12650,2016,Hyundai,Sonata,Sedan,82243,,Orem,UT,Dealer,2.4L Sport,red,black,Automatic,,4.0,Gasoline,4.0,,,,5NPE34AFXGH432793,27
2020-03-21,1584801117,https://cars.ksl.com/listing/6324200,2995,2008,Scion,tC,Coupe,124702,,Ogden,UT,Dealer,Spec,purple,,Manual,,4.0,Gasoline,2.0,,,,JTKDE167780262860,1
2020-03-21,1584801119,https://cars.ksl.com/listing/6132837,28999,2018,Ram,1500,Truck,53690,Clean Title,Idaho Falls,ID,Dealer,Sport,blue,black,Automatic,,8.0,Gasoline,,Very Good,Excellent,4-Wheel Drive,1C6RR7MT2JS240724,21
2020-03-21,1584801120,https://cars.ksl.com/listing/6122408,16495,2019,Hyundai,Kona,Sport Utility,23563,Clean Title,Orem,UT,Dealer,SE,black,cloth,Automatic,,4.0,Gasoline,,,,FWD,KM8K12AA9KU203873,20
2020-03-21,1584801121,https://cars.ksl.com/listing/6216856,7990,2013,Hyundai,Veloster,Coupe,90860,Clean Title,Midvale,UT,Dealer,RE:FLEX,black,black,Automanual,,4.0,Gasoline,3.0,Excellent,Excellent,FWD,KMHTC6AD6DU147331,11
2020-03-21,1584801123,https://cars.ksl.com/listing/6107033,32995,2018,Chevrolet,Silverado 1500,Truck,39107,Clean Title,Salt Lake City,UT,Dealer,LT,white,black,Automatic,,8.0,Gasoline,,,,4-Wheel Drive,1GCUKREC1JF113912,11
2020-03-21,1584801123,https://cars.ksl.com/listing/6152353,9990,2014,Mitsubishi,Outlander,Sport Utility,95861,Rebuilt/Reconstructed Title,Midvale,UT,Dealer,SE,white,beige,Automatic,,4.0,Gasoline,4.0,Excellent,Excellent,4-Wheel Drive,JA4AZ3A37EZ008985,15
2020-03-21,1584801124,https://cars.ksl.com/listing/6254873,19520,2013,Ford,F-150,Truck,96759,,Heber City,UT,Dealer,XLT,kodiak brown metallic,pale adobe,Automatic,,6.0,Gasoline,4.0,,,4-Wheel Drive,1FTFW1ET1DFB47013,31
2020-03-21,1584801125,https://cars.ksl.com/listing/6254872,31190,2012,Ford,F-350,Truck,105875,,Heber City,UT,Dealer,Lariat,white,black,Automatic,,8.0,Diesel,4.0,,,4-Wheel Drive,1FT8W3BT4CEB39775,32
2020-03-21,1584801125,https://cars.ksl.com/listing/6218953,16990,2015,GMC,Acadia,Sport Utility,101345,Rebuilt/Reconstructed Title,Midvale,UT,Dealer,Denali,white,black,Automatic,,6.0,Gasoline,4.0,Excellent,Excellent,AWD,1GKKVTKD9FJ170439,14
2020-03-21,1584801126,https://cars.ksl.com/listing/6324198,37999,2018,Toyota,Tundra,Truck,11830,,St. George,UT,Dealer,SR5,super white,graphite,Automatic,,8.0,Gasoline,4.0,,,4-Wheel Drive,5TFUY5F17JX764797,4
2020-03-21,1584801128,https://cars.ksl.com/listing/5952676,44985,2017,Jeep,Wrangler,Convertible,725,,West Valley City,UT,Dealer,Sahara,granite crystal metallic clearcoat,black,Automatic,,6.0,Gasoline,4.0,,,4-Wheel Drive,1C4BJWEG2HL633561,17
2020-03-21,1584801129,https://cars.ksl.com/listing/6324197,12999,2012,Toyota,RAV4,Sport Utility,80573,,St. George,UT,Dealer,,black forest pearl,ash,Automatic,,4.0,Gasoline,4.0,,,4-Wheel Drive,2T3BF4DV8CW191686,5
2020-03-21,1584801130,https://cars.ksl.com/listing/6324196,19999,2015,Jeep,Grand Cherokee,Sport Utility,66074,,St. George,UT,Dealer,Laredo,brilliant black crystal pearlcoat,black,Automatic,,6.0,Gasoline,4.0,,,4-Wheel Drive,1C4RJFAG9FC737871,5
2020-03-21,1584801131,https://cars.ksl.com/listing/6304415,12290,2015,Honda,Civic,Sedan,75910,Clean Title,Midvale,UT,Dealer,EX-L,silver,black,Automatic,,4.0,Gasoline,4.0,Excellent,Excellent,FWD,2HGFB2F98FH537808,15
2020-03-21,1584801131,https://cars.ksl.com/listing/6237406,34966,2018,Ford,F-150,Truck,56506,Clean Title,Taylorsville,UT,Dealer,Lariat,black,,Automatic,,6.0,Gasoline,,,,4-Wheel Drive,1FTEW1EG1JKD00409,37
2020-03-21,1584801132,https://cars.ksl.com/listing/5118403,4995,2006,Scion,xA,Hatchback,99515,Clean Title,Salt Lake City,UT,Dealer,,white,black,Automatic,,4.0,Gasoline,5.0,Excellent,Excellent,FWD,JTKKT624260133590,12
2020-03-21,1584801133,https://cars.ksl.com/listing/6324195,18759,2018,Ford,Focus,Hatchback,25924,,Salt Lake City,UT,Dealer,ST,yellow,charcoal black,Manual,,4.0,Gasoline,4.0,,,,1FADP3L90JL270036,29
2020-03-21,1584801133,https://cars.ksl.com/listing/6107029,27995,2014,Chevrolet,Silverado 1500,Truck,67095,Clean Title,Salt Lake City,UT,Dealer,LT,black,black,Automatic,,8.0,Flex Fuel,,,,4-Wheel Drive,3GCUKREC8EG266405,14
2020-03-21,1584801134,https://cars.ksl.com/listing/6151855,14990,2014,BMW,X3,SUV,84896,Clean Title,Midvale,UT,Dealer,xDrive28i,blue,beige,Automanual,,4.0,Gasoline,4.0,Excellent,Excellent,AWD,5UXWX9C57E0D10916,11
2020-03-21,1584801136,https://cars.ksl.com/listing/6156375,60450,2020,Ford,F-350,Truck,4,Clean Title,Gunnison,UT,Dealer,XLT,brown,gray,Automatic,,8.0,Diesel,4.0,,,4-Wheel Drive,1FT8W3BT1LEC62188,34
2020-03-21,1584801136,https://cars.ksl.com/listing/6324194,13146,2019,Volkswagen,Jetta,Sedan,30540,,Salt Lake City,UT,Dealer,S,red,storm gray/black,Automatic,,4.0,Gasoline,4.0,,,,3VWC57BUXKM136074,26
2020-03-21,1584801137,https://cars.ksl.com/listing/6237405,12966,2016,Hyundai,Tucson,Sport Utility,90948,Clean Title,Taylorsville,UT,Dealer,SE,black,,Automatic,2.0,4.0,Gasoline,,,,FWD,KM8J23A49GU249929,33
2020-03-21,1584801139,https://cars.ksl.com/listing/6152409,3990,2003,GMC,Yukon,Sport Utility,200025,Clean Title,Midvale,UT,Dealer,SLT,gold,beige,Automatic,,8.0,Flex Fuel,4.0,Excellent,Excellent,4-Wheel Drive,1GKEK13ZX3R224591,13
2020-03-21,1584801139,https://cars.ksl.com/listing/6107028,34995,2017,Ford,F-150,Truck,78078,Clean Title,Salt Lake City,UT,Dealer,Lariat,black,black,,,6.0,Gasoline,,,,4-Wheel Drive,1FTEW1EG5HFB36326,28
2020-03-21,1584801141,https://cars.ksl.com/listing/6324193,15500,2016,Chevrolet,Malibu,Sedan,56416,,Pocatello,ID,Dealer,LT,brown,jet black,Automatic,,4.0,Gasoline,4.0,,,,1G1ZE5ST0GF235236,0
2020-03-21,1584801142,https://cars.ksl.com/listing/6324192,28750,2015,Chevrolet,Silverado 3500HD,Truck,86634,,Pocatello,ID,Dealer,LT,white,,Automatic,,8.0,Flex Fuel,4.0,,,4-Wheel Drive,1GC4KZCG3FF526976,0
2020-03-21,1584801143,https://cars.ksl.com/listing/6237404,14977,2016,Subaru,Legacy,Sedan,86229,Clean Title,Taylorsville,UT,Dealer,2.5i Limited,black,,Automatic,,4.0,Gasoline,,,,,4S3BNBN68G3054786,33
2020-03-21,1584801143,https://cars.ksl.com/listing/6324191,12900,2014,Chevrolet,Silverado 1500,Truck,196584,,Pocatello,ID,Dealer,Work Truck,gray,jet black dark ash,Automatic,,8.0,Flex Fuel,2.0,,,4-Wheel Drive,1GCNKPEC4EZ308691,0
2020-03-21,1584801146,https://cars.ksl.com/listing/6324190,19500,2014,Ford,F-150,Truck,120717,,Pocatello,ID,Dealer,XLT,red,,Automatic,,6.0,Gasoline,4.0,,,4-Wheel Drive,1FTFW1ETXEFB89679,0
2020-03-21,1584801148,https://cars.ksl.com/listing/6324189,18000,2019,Chevrolet,Malibu,Sedan,32382,,Pocatello,ID,Dealer,LT,white,jet black,Automatic,,4.0,Gasoline,4.0,,,,1G1ZD5ST1KF108958,0
2020-03-21,1584801148,https://cars.ksl.com/listing/6307465,13995,2016,Chevrolet,Trax,Sport Utility,25560,Clean Title,Price,UT,Dealer,LS,cyber gray metallic,jet black,Automatic,,4.0,Gasoline,,,,FWD,3GNCJKSB1GL149462,42
2020-03-21,1584801149,https://cars.ksl.com/listing/6324188,18900,2018,Chevrolet,Impala,Sedan,28365,,Pocatello,ID,Dealer,LT,white,jet black,Automatic,,6.0,Gasoline,4.0,,,,2G1105S38J9174715,0
