post_date,lastpull_ts,link,price,year,make,model,body,mileage,title_type,city,state,seller,trim,ext_color,int_color,transmission,liters,cylinders,fuel_type,n_doors,ext_condition,int_condition,drive_type,VIN,n_pics
2020-03-21,1584802500,https://cars.ksl.com/listing/6324249,26850,2017,Toyota,86,Coupe,20824.0,,Farmington,UT,Dealer,,white,,,,4.0,Gasoline,2.0,,,RWD,JF1ZNAA17H9703940,4
2020-03-21,1584802500,https://cars.ksl.com/listing/6324248,23850,2018,Nissan,Rogue,Sport Utility,31109.0,,Farmington,UT,Dealer,S,gun metallic,charcoal,Automatic,,4.0,Gasoline,4.0,,,AWD,KNMAT2MVXJP584574,4
2020-03-21,1584802503,https://cars.ksl.com/listing/6324247,2200,2003,Lexus,ES 300,Sedan,161258.0,Rebuilt/Reconstructed Title,Layton,UT,Owner,,,,,,6.0,Gasoline,,,,FWD,JTHBF30G230089077,3
2020-03-21,1584802506,https://cars.ksl.com/listing/6206092,28500,2015,Ram,3500,Truck,127961.0,,West Bountiful,UT,Dealer,Tradesman,bright white clearcoat,diesel gray/black,Automatic,,6.0,Diesel,4.0,,,4-Wheel Drive,3C63R3GL0FG512552,31
2020-03-21,1584802506,https://cars.ksl.com/listing/5952720,38485,2017,Jeep,Wrangler,Convertible,94.0,,West Valley City,UT,Dealer,Sahara,granite crystal metallic clearcoat,black,Automatic,,6.0,Gasoline,4.0,,,4-Wheel Drive,1C4BJWEG3HL633567,20
2020-03-21,1584802508,https://cars.ksl.com/listing/6221352,38990,2018,Chevrolet,Silverado 2500HD,Truck,91631.0,Clean Title,South Salt Lake,UT,Dealer,LTZ,white,,Automatic,,8.0,Diesel,4.0,Excellent,Excellent,4-Wheel Drive,1GC1KWEY4JF192733,23
2020-03-21,1584802509,https://cars.ksl.com/listing/5952719,44899,2018,Jeep,Wrangler Unlimited,Convertible,25.0,,West Valley City,UT,Dealer,Sahara,bright white clearcoat,black,Automatic,,6.0,Gasoline,4.0,,,4-Wheel Drive,1C4HJWEG0JL926343,21
2020-03-21,1584802511,https://cars.ksl.com/listing/6249709,9500,2014,Chevrolet,Equinox,Sport Utility,60000.0,Rebuilt/Reconstructed Title,Orem,UT,Dealer,,,,Automatic,,6.0,Gasoline,4.0,,,AWD,2GNFLFE36E6160526,6
2020-03-21,1584802511,https://cars.ksl.com/listing/6278707,5887,2009,Scion,xB,Sedan,113000.0,Clean Title,Layton,UT,Dealer,10 Series,black,black,Automanual,,4.0,Gasoline,4.0,Very Good,Very Good,FWD,JTLKE50E391070817,10
2020-03-21,1584802512,https://cars.ksl.com/listing/6243718,11,2005,Chrysler,300,Sedan,192000.0,Rebuilt/Reconstructed Title,Grantsville,UT,Owner,Limited,gray,tan,Automatic,,6.0,Gasoline,4.0,Fair,Excellent,RWD,2C3AA53G05H122582,12
2020-03-21,1584802514,https://cars.ksl.com/listing/6206088,1000,2005,Ford,Taurus,Wagon,212875.0,Clean Title,Lindon,UT,Dealer,SE,blue,,Automatic,,6.0,Flex Fuel,4.0,,,FWD,1FAFP58265A219044,4
2020-03-21,1584802516,https://cars.ksl.com/listing/6324241,11499,2018,Nissan,Versa,Sedan,45909.0,,Murray,UT,Dealer,SV,silver,black,Automatic,,4.0,Gasoline,4.0,,,FWD,3N1CN7AP7JL868717,21
2020-03-21,1584802516,https://cars.ksl.com/listing/6206083,3200,2004,Honda,Pilot,Sport Utility,225278.0,Clean Title,Lindon,UT,Dealer,EX,blue,,Automatic,,6.0,Gasoline,4.0,,,AWD,2HKYF18434H520961,4
2020-03-21,1584802517,https://cars.ksl.com/listing/6289181,6999,2012,Honda,Civic,Sedan,74000.0,Rebuilt/Reconstructed Title,Orem,UT,Dealer,LX,,,Automatic,,4.0,Gasoline,4.0,,,,2HGFB2F52CH586608,6
