,timestamp,lastpull_ts,link,price,year,make,model,body,mileage,title_type,city,state,seller,trim,ext_color,int_color,transmission,liters,cylinders,fuel_type,n_doors,ext_condition,int_condition,drive_type,n_pics,views,favorites,workingURL,view_rate,favorite_rate,fav_per_view
0,1584391700,1584569986,https://cars.ksl.com/listing/6312821,29995,2015,Toyota,Sienna,Van,26346,Clean Title,American Fork,UT,Dealer,Limited Premium,black,gray,Automatic,,6.0,Gasoline,,Excellent,Excellent,AWD,0,12.0,0.0,1,5.815375295872923,0.0,0.0
1,1584391680,1584569987,https://cars.ksl.com/listing/6296049,18887,2014,BMW,5 Series,Sedan,54887,,Farmington,UT,Dealer,528i xDrive,white,venetian beige/excl. stit,Automatic,,4.0,Gasoline,4.0,,,AWD,13,27.0,1.0,1,13.083053385453177,0.48455753279456215,0.037037037037037035
2,1584391670,1584569988,https://cars.ksl.com/listing/6312820,3500,2007,Mazda,Mazda3,Compact,164000,Clean Title,Mona,UT,Owner,Sport,red,black,Manual,2.3,4.0,Gasoline,4.0,Very Good,Very Good,FWD,1,79.0,4.0,1,38.277683688690985,1.9381105665159994,0.05063291139240506
3,1584391597,1584569988,https://cars.ksl.com/listing/6296047,32000,2015,Lexus,RX 450,Sport Utility,47886,,Lindon,UT,Dealer,,satin cashmere metallic,parchment,Automatic,,6.0,Hybrid,4.0,,,AWD,38,,,0,,,
4,1584391570,1584569990,https://cars.ksl.com/listing/6312818,38982,2018,Jeep,Wrangler,Crossover,18986,Clean Title,Murray,UT,Dealer,Unlimited Sahara,silver,tan,Automatic,,6.0,Gasoline,4.0,Excellent,Excellent,4-Wheel Drive,0,5.0,0.0,1,2.4212532227328776,0.0,0.0
5,1584391555,1584569992,https://cars.ksl.com/listing/6296046,20000,2013,Lexus,RX 350,Sport Utility,80179,,Lindon,UT,Dealer,,nebula gray pearl,black,Automatic,,6.0,Gasoline,4.0,,,AWD,38,10.0,1.0,1,4.8420450915449145,0.48420450915449154,0.1
6,1584391535,1584569992,https://cars.ksl.com/listing/6312815,500,1999,Jeep,Grand Cherokee,SUV,160000,Clean Title,West Jordan,UT,Owner,,red,tan,Automatic,,8.0,Gasoline,4.0,Good,Good,4-Wheel Drive,3,375.0,6.0,1,181.55634130350728,2.904901460856116,0.016
7,1584391514,1584569993,https://cars.ksl.com/listing/6296045,34000,2015,Lexus,RX 450,Sport Utility,39608,,Lindon,UT,Dealer,,silver lining metallic,saddle tan,Automatic,,6.0,Hybrid,4.0,,,AWD,37,6.0,0.0,1,2.904543391659523,0.0,0.0
8,1584391474,1584569995,https://cars.ksl.com/listing/6296044,24000,2017,Lexus,CT,Hatchback,27641,,Lindon,UT,Dealer,CT 200h,atomic silver,black,Automatic,,4.0,Hybrid,4.0,,,,34,16.0,0.0,1,7.743626800208378,0.0,0.0
9,1584391402,1584569995,https://cars.ksl.com/listing/6312813,3500,2008,Nissan,Sentra,Sedan,125000,Clean Title,West Valley City,UT,Owner,SE,blue,gray,Automatic,,4.0,Gasoline,4.0,Excellent,Excellent,FWD,8,,,0,,,
